butterfly,host_species,host_family
Acraea_abdera,Caloncoba,Flacourtiaceae
Acraea_acerata,Ipomoea repens,Convolvulaceae
Acraea_acerata,Solanum,Solanaceae
Acraea_acerata,Zea,Gramineae
Acraea_acerata,Ipomoea,Convolvulaceae
Acraea_acerata,Merremia,Convolvulaceae
Acraea_acerata,Vernonia,Compositae
Acraea_acerata,Ipomoea batatas,Convolvulaceae
Acraea_acerata,Lepistemon owariense,Convolvulaceae
Acraea_acerata,Passiflora foetida,Passifloraceae
Acraea_acerata,Passiflora,Passifloraceae
Acraea_acerata,Zea mays,Gramineae
Acraea_acerata,Lepistemon,Convolvulaceae
Acraea_alciope,Musanga,Cecropiaceae
Acraea_alciope,Laportea,Urticaceae
Acraea_alciope,Laportea podocarpa,Urticaceae
Acraea_alciope,Musanga cecropioides,Cecropiaceae
Acraea_alciope,Macaranga,Euphorbiaceae
Acraea_alciope,Boehmeria nivea,Urticaceae
Acraea_andromacha,Hybanthus enneaspermus,Violaceae
Acraea_andromacha,Adenia populifolia,Passifloraceae
Acraea_andromacha,Passiflora,Passifloraceae
Acraea_andromacha,Passiflora subpeltata,Passifloraceae
Acraea_andromacha,Passiflora samoensis,Passifloraceae
Acraea_bonasia,Clappertonia,Tiliaceae
Acraea_bonasia,Hibiscus,Malvaceae
Acraea_bonasia,Clappertonia ficifolia,Tiliaceae
Acraea_bonasia,Triumfetta,Tiliaceae
Acraea_bonasia,Triumfetta ruwenzoriensis,Tiliaceae
Acraea_bonasia,Triumfetta macrophylla,Tiliaceae
Acraea_bonasia,Ipomoea batatas,Convolvulaceae
Acraea_bonasia,Pinus radiata,Pinaceae
Acraea_camaena,Premna,Verbenaceae
Acraea_camaena,Premna hispida,Verbenaceae
Acraea_camaena,Smeathmannia,Passifloraceae
Acraea_circeis,Urera,Urticaceae
Acraea_circeis,Urera oblongifolia,Urticaceae
Acraea_egina,Adenia lobata,Passifloraceae
Acraea_egina,Rawsonia,Flacourtiaceae
Acraea_egina,Adenia,Passifloraceae
Acraea_encedana,Desmodium,Fabaceae
Acraea_encedon,Murdannia nudiflora,Commelinaceae
Acraea_encedon,Commelina,Commelinaceae
Acraea_encedon,Pseudarthria,Fabaceae
Acraea_encedon,Ocimum canum,Labiatae
Acraea_encedon,Pouzolzia guineensis ?,Urticaceae
Acraea_encedon,Commelina africana,Commelinaceae
Acraea_endoscota,Rinorea,Violaceae
Acraea_eponina,Clappertonia,Tiliaceae
Acraea_eponina,Hibiscus,Malvaceae
Acraea_eponina,Triumfetta pilosa,Tiliaceae
Acraea_eponina,Nicotiana tabacum,Solanaceae
Acraea_eponina,Waltheria lanceolata,Sterculiaceae
Acraea_eponina,Melochia,Sterculiaceae
Acraea_eponina,Corchorus olitorius,Tiliaceae
Acraea_eponina,Triumfetta,Tiliaceae
Acraea_eponina,Waltheria,Sterculiaceae
Acraea_eponina,Triumfetta macrophylla,Tiliaceae
Acraea_eponina,Hermannia,Sterculiaceae
Acraea_eponina,Triumfetta annua,Tiliaceae
Acraea_eponina,Sida,Malvaceae
Acraea_eponina,Triumfetta rhomboidea,Tiliaceae
Acraea_eponina,Nicotiana,Solanaceae
Acraea_eponina,Dombeya,Sterculiaceae
Acraea_eponina,Corchorus,Tiliaceae
Acraea_igola,Urera,Urticaceae
Acraea_igola,Urera acuminata,Urticaceae
Acraea_issoria,Boehmeria densiflora,Urticaceae
Acraea_issoria,Debregeasia bicolor,Urticaceae
Acraea_issoria,Boehmeria formosana,Urticaceae
Acraea_issoria,Elatostema lineolatum,Urticaceae
Acraea_issoria,Boehmeria salicifolia,Urticaceae
Acraea_issoria,Boehmeria nivea,Urticaceae
Acraea_issoria,Boehmeria longispica,Urticaceae
Acraea_issoria,Pouzolzia elegans,Urticaceae
Acraea_issoria,Debregeasia edulis,Urticaceae
Acraea_issoria,Urtica taiwaniana,Urticaceae
Acraea_issoria,Urtica,Urticaceae
Acraea_issoria,Hyrtanandra hirta,Urticaceae
Acraea_jodutta,Boehmeria,Urticaceae
Acraea_jodutta,Boehmeria utilis,Urticaceae
Acraea_jodutta,Pouzolzia,Urticaceae
Acraea_jodutta,Boehmeria nivea,Urticaceae
Acraea_johnstoni,Pouzolzia parasitica,Urticaceae
Acraea_johnstoni,Pouzolzia,Urticaceae
Acraea_johnstoni,Laportea,Urticaceae
Acraea_lycoa,Pouzolzia parasitica,Urticaceae
Acraea_lycoa,Pouzolzia guineensis,Urticaceae
Acraea_lycoa,Pouzolzia,Urticaceae
Acraea_lycoa,Laportea,Urticaceae
Acraea_obeira,Obetia tenax,Urticaceae
Acraea_obeira,Laportea,Urticaceae
Acraea_obeira,Pouzolzia mixta,Urticaceae
Acraea_obeira,Pouzolzia,Urticaceae
Acraea_obeira,Urera,Urticaceae
Acraea_obeira,Dombeya,Sterculiaceae
Acraea_obeira,Laportea peduncularis,Urticaceae
Acraea_oberthueri,Ancistrocarpus,Tiliaceae
Acraea_oberthueri,Ancistrocarpus densispinosus,Tiliaceae
Acraea_parrhasia,Urera,Urticaceae
Acraea_parrhasia,Urera rigida,Urticaceae
Acraea_peneleos,Urera,Urticaceae
Acraea_perenna,Bridelia micrantha,Euphorbiaceae
Acraea_perenna,Bridelia,Euphorbiaceae
Acraea_perenna,Kolobopetalum,Menispermaceae
Acraea_perenna,Mikania,Compositae
Acraea_perenna,Adenia,Passifloraceae
Acraea_pharsalus,Boehmeria utilis,Urticaceae
Acraea_pharsalus,Ficus sycomorus,Moraceae
Acraea_pharsalus,Ficus,Moraceae
Acraea_pseudegina,Clappertonia,Tiliaceae
Acraea_pseudegina,Passiflora,Passifloraceae
Acraea_quirina,Rinorea subintegrifolia,Violaceae
Acraea_quirina,Drypetes,Euphorbiaceae
Acraea_quirina,Rinorea convallariifolia,Violaceae
Acraea_quirina,Rinorea elliotii,Violaceae
Acraea_quirina,Rinorea,Violaceae
Acraea_quirina,Rinorea poggei,Violaceae
Acraea_rahira,Persicaria attenuata,Polygonaceae
Acraea_rahira,Conyza canadense,Compositae
Acraea_rahira,Polygonum,Polygonaceae
Acraea_rahira,Erigeron,Compositae
Acraea_ranavalona,Passiflora,Passifloraceae
Acraea_vesperalis,Myrianthus arboreus,Cecropiaceae
Acraea_vesperalis,Myrianthus,Cecropiaceae
Acraea_vesperalis,Musanga,Cecropiaceae
Acraea_violae,,Cucurbitaceae
Acraea_violae,Adenia palmata,Passifloraceae
Acraea_violae,Hibiscus cannabinus,Malvaceae
Acraea_violae,Vitex pinnata,Verbenaceae
Acraea_violae,Castilla elastica,Moraceae
Acraea_violae,Tecoma chrysantha,Bignoniaceae
Acraea_violae,Passiflora edulis,Passifloraceae
Acraea_violae,Passiflora foetida,Passifloraceae
Acraea_violae,Passiflora,Passifloraceae
Acraea_zetes,Adenia cissampeloides,Passifloraceae
Acraea_zetes,Adenia lobata,Passifloraceae
Acraea_zetes,Hydnocarpus,Flacourtiaceae
Acraea_zetes,Adenia lobata ?,Passifloraceae
Acraea_zetes,Smeathmannia,Passifloraceae
Acraea_zetes,Adenia glauca,Passifloraceae
Acraea_zetes,Passiflora,Passifloraceae
Acraea_zetes,Barleria,Acanthaceae
Acraea_zetes,Basananthe zanzibarica,Passifloraceae
Acraea_zetes,Passiflora incarnata,Passifloraceae
Acraea_zetes,Barteria,Passifloraceae
Acraea_zetes,Basananthe,Passifloraceae
Acraea_zetes,Passiflora edulis,Passifloraceae
Acraea_zetes,Passiflora caerulea,Passifloraceae
Acraea_zetes,Smeathmannia laevigata,Passifloraceae
Acraea_zetes,Adenia,Passifloraceae
Actinote_alalia,Ayapana triplinervis,Compositae
Actinote_genitrix,Mikania,Compositae
Actinote_mamita,Amaranthus flavus,Amaranthaceae
Actinote_mamita,Amaranthus quitensis,Amaranthaceae
Actinote_mamita,Amaranthus hybridus,Amaranthaceae
Actinote_mamita,Lantana montevidensis,Verbenaceae
Actinote_mamita,Amaranthus caudatus,Amaranthaceae
Actinote_mamita,Schizachyrium condensatum,Gramineae
Actinote_parapheles,Mikania callineura,Compositae
Actinote_parapheles,Boehmeria caudata,Urticaceae
Actinote_pellenea,Senecio brasiliensis,Compositae
Actinote_pellenea,Mikania parviflora,Compositae
Actinote_pellenea,Eupatorium inulaefolium,Compositae
Actinote_pellenea,Mikania scandens,Compositae
Actinote_pellenea,Eupatorium virgatum,Compositae
Actinote_pellenea,Eupatorium odoratum,Compositae
Actinote_pellenea,Lantana montevidensis,Verbenaceae
Actinote_pellenea,Helianthus,Compositae
Actinote_pellenea,Senecio bonariensis,Compositae
Actinote_pellenea,Helianthus annuus,Compositae
Actinote_pellenea,Mikania sericea,Compositae
Actinote_pellenea,Acacia bonariensis,Fabaceae
Actinote_pellenea,Mimosa sepiaria,Fabaceae
Actinote_pellenea,Austroeupatorium inulaefolium,Compositae
Actinote_pellenea,Eupatorium,Compositae
Actinote_pyrrha,Eupatorium,Compositae
Actinote_pyrrha,Mikania parviflora,Compositae
Actinote_pyrrha,Chromolaena odorata,Compositae
Actinote_pyrrha,Mikania scandens,Compositae
Actinote_pyrrha,Lantana montevidensis,Verbenaceae
Actinote_pyrrha,Eupatorium oblongifolium,Compositae
Actinote_pyrrha,Eupatorium inulaefolium,Compositae
Actinote_pyrrha,Eupatorium laeve,Compositae
Actinote_pyrrha,Acacia bonariensis,Fabaceae
Actinote_pyrrha,Mimosa sepiaria,Fabaceae
Actinote_pyrrha,Eupatorium virgatum,Compositae
Actinote_rhodope,Vernonia polyanthes,Compositae
